Id,RoomNumber,Description,AdultsCapacity,ChildrenCapacity,Type,Amenities,HotelId,Image,BasePrice
13f90ed8-68fe-4123-b7b0-78a353369e3c,947,Nice normal room,4,2,0,14864603,013f6e57-2e66-4780-b02b-24530f0027fe,room2c8c6485-ffad-4dc3-802d-6b857350d9c3,2465
e4a3778a-4a9d-4938-aacf-de55b74f416a,647,Nice normal room,7,4,1,10173947,01d8bc35-c2bf-48c6-bce8-f10eb7668418,room60fe03b5-ad2e-4af3-ad6d-fb4e5799302d,1795
955f4538-fe5d-44d2-bf1d-33f7b1f45dd0,749,Nice normal room,8,7,0,10905706,42aecf96-6718-4491-ad1d-5255e72f1042,room6e48bf51-3fa6-477b-89ab-17bbcafef122,2374
9357aa1a-e4cc-4658-8baf-031f5cd14706,146,Nice normal room,1,7,0,15875036,d594ce88-36d3-424a-a077-a8337f88dddb,roomc1c6d2f4-162b-4481-a309-363b60c44c73,1138
ac600f07-09af-4c2a-b5e0-902b3e08a80d,145,Nice normal room,10,2,1,1572043,5a68f434-24e8-46a1-a84e-7b1b775c5dbd,roomc03e0507-8a2e-4502-bba8-70c3e211543a,1196
9e0d6128-c11d-4169-8c1f-c8bdfcdcc46a,170,Nice normal room,1,6,1,14242587,fea5b473-4873-4bff-91f1-eda96b0b14af,room00e5df8a-5cce-4860-93e9-ea7dba72a15d,1533
c2a8eee5-55bc-4c83-a35f-3d48bb3c2348,888,Nice normal room,3,7,0,12292600,c38a848e-04e5-4dbb-8bdd-20b4d4d08ba7,room14e0d03f-ba96-48f3-b087-65b8d72564a4,1362
bf571d8a-8b96-4e14-b011-02768e556b0e,367,Nice normal room,1,7,0,9529340,b284c6d1-94f5-4a92-97ae-ab9ef5dc8fef,room866c0db3-0d6d-478f-bdaf-2b9dbb3a2601,1138
499d9949-4ce0-45f1-862c-1a7415a7cef5,781,Nice normal room,3,6,2,357899,8312dcf2-46ce-4646-aea6-7e0724e2a47e,roomb78b1fc1-cae6-45ab-82de-87322084bbaa,1656
9657ed60-4727-4179-8f26-59cbf22bea71,408,Nice normal room,6,8,1,562513,02405f5d-c46a-4438-a506-2d649f5d4190,room2b32d7db-68f6-43e2-a338-612f43be748c,1216
ec7f362e-eff7-4530-ade9-33cbc744579d,380,Nice normal room,2,10,2,10275713,2817f748-049c-4cb0-92d2-80365d793d5a,room3a18c4ec-147c-49ab-aa5d-6e683207103c,1601
7721d980-1fd3-484e-9cee-28a90d2d6eca,990,Nice normal room,10,7,1,1750273,8312dcf2-46ce-4646-aea6-7e0724e2a47e,roomd1727aea-da60-4a8d-ab4b-b3059a569ad7,2146
70465fa0-df2a-4c0a-a760-5138926a79a2,771,Nice normal room,5,6,1,4851341,01d8bc35-c2bf-48c6-bce8-f10eb7668418,roomc758d342-77c6-42cd-9a36-da1d6835a01e,187
8baaaf16-ee5e-4dd1-ada1-22983eae9126,778,Nice normal room,2,2,0,1907849,40213f52-0959-453b-8a4d-58d727d1f60e,room9e25e4ae-a389-441a-a93f-1918311ec5a2,1252
d52a9586-00aa-4460-8d29-c8d4eb00223c,416,Nice normal room,10,9,1,2812426,27800019-e5e2-47b2-9aed-456b458f2f25,rooma08d86d8-c9b3-4a40-9dc1-f19e3d012e27,990
c04c0c6a-001f-4ad0-9fd4-2c6477074a96,353,Nice normal room,4,5,2,3588377,3edb0d15-5b1c-47a4-a305-c4fa2bb7c894,roomb835e0c4-8af6-4782-b9ad-9e35718f9a11,1115
7a9c4074-267d-4dbb-8802-97a6750ef756,68,Nice normal room,9,3,2,407249,2aa87254-1db1-44c2-8345-8940c0db6be3,room5e44a208-bea5-4dd9-b23b-97ba067f3e39,1953
7491b2bb-3a6a-47c3-9108-7cf081052592,470,Nice normal room,2,8,1,1067396,9dfb1d02-cd7f-45aa-a6ac-1c992c3f5058,room85e08fc9-b02e-4a5d-81e2-71f936d092d2,1275
b65ef132-af87-4ace-8314-46e204320b1b,285,Nice normal room,7,5,1,8965962,3015b191-f883-4c97-bd52-45c4cc061443,room3e2049b3-8f0f-4bc2-9791-00ed9f51287d,2246
